model name	subset name	split	class	lAcc	lAcc (norm)	CER (total)	CER (errors)
BART_4-4-404_66m	school	holdout	10001-n	0.9628404523553936	0.9692438275457473	0.015625111075968603	0.4204871174807352
BART_4-4-404_66m	school	holdout	punct	0.0	0.0	0.0	0.0
BART_4-4-404_66m	school	holdout	all	0.9935799986675469	0.9945115045212557	0.002681269837209247	0.4176431901431901
BART_4-4-404_66m	school	unknown	1-100	0.998806381069378	0.9990721137510128	0.0016829010457960509	1.4099148418491483
BART_4-4-404_66m	school	unknown	101-1000	0.9965192005389625	0.9968186241485141	0.001748776462452636	0.5024065540194572
BART_4-4-404_66m	school	unknown	1001-10000	0.9891411865561734	0.9905260149913173	0.003465376960200339	0.3191303523287329
BART_4-4-404_66m	school	unknown	10001-n	0.9642978875885998	0.9733435880404478	0.012104552244060362	0.3390430264903654
BART_4-4-404_66m	school	unknown	punct	0.9999944408309845	0.9999944408309845	5.5591690154155755e-06	1.0
BART_4-4-404_66m	school	unknown	all	0.9936233004703912	0.9951272633545976	0.0025487230278420166	0.39969313529790074
BART_4-4-404_66m	school	all	1-100	0.9987533191214671	0.998893071604292	0.0012441509677516129	0.9979706829350957
BART_4-4-404_66m	school	all	101-1000	0.9948727978876486	0.9949775772223697	0.0018142763562160311	0.35385309891440686
BART_4-4-404_66m	school	all	1001-10000	0.9962784157790011	0.9972297739637452	0.001522475454132462	0.40909337629441617
BART_4-4-404_66m	school	all	10001-n	0.9636976759727142	0.9716551947484489	0.013554414479565376	0.37337594335220775
BART_4-4-404_66m	school	all	punct	0.9999944408309845	0.9999944408309845	5.5591690154155755e-06	1.0
BART_4-4-404_66m	school	all	all	0.9936009790851673	0.9948098495468297	0.002617048783301178	0.40897643844778697
BART_4-4-404_66m	poetic_18	holdout	1-100	0.9990914321104869	0.9991385896134027	0.0004849737482415117	0.5337782171692206
BART_4-4-404_66m	poetic_18	holdout	101-1000	0.9906157307967679	0.9924184310115577	0.004268780105885045	0.45488679122875314
BART_4-4-404_66m	poetic_18	holdout	1001-10000	0.995783347923114	0.9969238166865991	0.0014187843287057906	0.33647175598929985
BART_4-4-404_66m	poetic_18	holdout	10001-n	0.9791393621668851	0.9839449541284404	0.006952959402720089	0.33330521618484366
BART_4-4-404_66m	poetic_18	holdout	punct	0.9989450073184177	0.9989450073184177	0.0010259675035348057	0.9724877920442436
BART_4-4-404_66m	poetic_18	holdout	all	0.9956104204229579	0.9964773623894237	0.0018806097556818757	0.42842593981383836
BART_4-4-404_66m	poetic_18	unknown	1-100	0.9287249283667621	0.9391117478510028	0.0524662300450266	0.7361091170136397
BART_4-4-404_66m	poetic_18	unknown	101-1000	0.9346582354712436	0.9409816320385426	0.02321136907857775	0.35523021525325676
BART_4-4-404_66m	poetic_18	unknown	1001-10000	0.9581985679552095	0.9621244228324151	0.011925388446187613	0.28528660055017974
BART_4-4-404_66m	poetic_18	unknown	10001-n	0.9205966505932491	0.9318213649732888	0.0262976726132722	0.3311909738033845
BART_4-4-404_66m	poetic_18	unknown	punct	0.0	0.0	0.0	0.0
BART_4-4-404_66m	poetic_18	unknown	all	0.9323300157416341	0.9411529477479308	0.022476453771162877	0.33214805674177694
BART_4-4-404_66m	poetic_18	all	1-100	0.9984791585508376	0.9986162835995326	0.0009372734524273286	0.6162861046057767
BART_4-4-404_66m	poetic_18	all	101-1000	0.9872652423450223	0.9893386219537846	0.005402978933583819	0.42427025939295876
BART_4-4-404_66m	poetic_18	all	1001-10000	0.9876451979038373	0.989388780216861	0.0036937562874144168	0.29897332702412743
BART_4-4-404_66m	poetic_18	all	10001-n	0.9434684547394088	0.9521853093569034	0.01873996850421578	0.3314957767000861
BART_4-4-404_66m	poetic_18	all	punct	0.9989450073184177	0.9989450073184177	0.0010259675035348057	0.9724877920442436
BART_4-4-404_66m	poetic_18	all	all	0.9862826571656065	0.988322341182998	0.004916512544692412	0.3584158101206901
BART_4-4-404_66m	poetic_19	holdout	1-100	0.9993534451865617	0.9993821138947421	0.00037690369832442893	0.5829416013780074
BART_4-4-404_66m	poetic_19	holdout	101-1000	0.9931844773790952	0.9942639848451081	0.0024555693962452375	0.36029069710860023
BART_4-4-404_66m	poetic_19	holdout	1001-10000	0.9967750125053101	0.9977528146373712	0.0011053445885070368	0.34274383709301876
